TEMPERATURA;FLUXO-SAIDA;ALTURA
0.000000;0.000000;0.000000
20.001379;10.000000;1.994637
20.003494;10.000000;1.994625
20.003494;10.000000;1.994625
20.389215;10.000000;1.955806
20.420649;10.000000;1.951069
20.428722;10.000000;1.949850
20.452421;10.000000;1.948250
21.047470;10.000000;1.894531
21.073431;10.000000;1.891987
21.082167;10.000000;1.891106
21.116425;10.000000;1.887369
21.761282;10.000000;1.827431
21.789061;10.000000;1.825837
21.798338;10.000000;1.825269
21.826414;10.000000;1.823469
22.534977;10.000000;1.763750
22.565275;10.000000;1.760500
22.575331;10.000000;1.759381
22.605566;10.000000;1.755913
23.377647;70.000000;1.653600
23.411568;70.000000;1.644525
23.422773;70.000000;1.644525
23.456734;70.000000;1.637525
24.333565;70.000000;1.466819
24.333565;70.000000;1.466819
24.333565;70.000000;1.466819
24.421059;70.000000;1.458012
24.844170;70.000000;1.518175
24.865807;70.000000;1.521300
24.882240;70.000000;1.523175
24.893764;70.000000;1.524219
25.442657;70.000000;1.471056
25.442657;70.000000;1.471056
25.442657;70.000000;1.471056
25.496902;70.000000;1.478275
25.807724;100.000000;1.500406
25.812384;100.000000;1.499987
25.826906;100.000000;1.498469
25.831930;100.000000;1.497875
26.116056;100.000000;1.487119
26.129503;100.000000;1.487556
26.129503;100.000000;1.487556
26.143805;100.000000;1.487762
26.369995;100.000000;1.494325
26.384508;100.000000;1.494869
26.384508;100.000000;1.494869
26.396009;100.000000;1.495306
26.602846;100.000000;1.500831
26.606314;100.000000;1.500556
26.621233;100.000000;1.499019
26.625450;100.000000;1.498538
26.812935;100.000000;1.491800
26.821434;100.000000;1.492244
26.821434;100.000000;1.492244
26.832079;100.000000;1.492775
26.972912;100.000000;1.501987
26.975275;100.000000;1.501906
26.975275;100.000000;1.501906
26.975275;100.000000;1.501906
27.158348;100.000000;1.485888
27.159872;100.000000;1.486000
27.159872;100.000000;1.486000
27.166393;100.000000;1.486781
27.267696;100.000000;1.495781
27.269079;100.000000;1.495881
27.269079;100.000000;1.495881
27.274372;100.000000;1.496325
27.422806;100.000000;1.484094
27.422806;100.000000;1.484094
27.427025;100.000000;1.483106
27.427025;100.000000;1.483106
27.493462;100.000000;1.489213
27.498121;100.000000;1.489769
27.498121;100.000000;1.489769
27.501892;100.000000;1.490200
27.558519;100.000000;1.499100
27.561455;100.000000;1.499881
27.561455;100.000000;1.499881
27.564661;100.000000;1.500331
27.673725;100.000000;1.482969
27.676277;100.000000;1.483400
27.676277;100.000000;1.483400
27.678255;100.000000;1.484169
27.714743;100.000000;1.492962
27.716345;100.000000;1.493519
27.718582;100.000000;1.493950
27.718582;100.000000;1.493950
27.760656;100.000000;1.500312
27.772718;100.000000;1.497756
27.775686;100.000000;1.497125
27.784698;100.000000;1.494950
27.839275;100.000000;1.487281
27.839275;100.000000;1.487281
27.841043;100.000000;1.487813
27.841043;100.000000;1.487813
27.858074;100.000000;1.497494
27.858074;100.000000;1.497494
27.858932;100.000000;1.497831
27.858932;100.000000;1.497831
27.913607;100.000000;1.485725
27.913607;100.000000;1.485725
27.913607;100.000000;1.485725
27.913607;100.000000;1.485725
27.923420;100.000000;1.492144
27.924040;100.000000;1.492463
27.924212;100.000000;1.492575
27.924212;100.000000;1.492575
27.930048;100.000000;1.502113
27.930313;100.000000;1.502156
27.930313;100.000000;1.502156
27.931923;100.000000;1.501669
28.009487;100.000000;1.472475
28.010256;100.000000;1.472800
28.010256;100.000000;1.472800
28.010256;100.000000;1.472800
28.019594;100.000000;1.479813
28.019680;100.000000;1.480250
28.019680;100.000000;1.480250
28.020372;100.000000;1.480575
28.027103;100.000000;1.487381
28.028402;100.000000;1.487587
28.028402;100.000000;1.487587
28.028425;100.000000;1.488025
28.034643;100.000000;1.494744
28.034618;100.000000;1.495181
28.034618;100.000000;1.495181
28.035835;100.000000;1.495388
28.052240;100.000000;1.498894
28.054337;100.000000;1.498412
28.060772;100.000000;1.496688
28.063183;100.000000;1.496025
28.078428;100.000000;1.492131
28.078035;100.000000;1.492675
28.078035;100.000000;1.492675
28.077068;100.000000;1.493231
28.064260;100.000000;1.502494
28.064037;100.000000;1.502500
28.064608;100.000000;1.502281
28.065138;100.000000;1.502125
28.095255;100.000000;1.486725
28.093586;100.000000;1.487388
28.093586;100.000000;1.487388
28.092987;100.000000;1.487944
28.087915;100.000000;1.495587
28.087831;100.000000;1.495694
28.087831;100.000000;1.495694
28.088686;100.000000;1.495900
28.110552;100.000000;1.496075
28.110552;100.000000;1.496075
28.118816;100.000000;1.493837
28.121693;100.000000;1.493000
28.133749;100.000000;1.489725
28.133749;100.000000;1.489725
28.133749;100.000000;1.489725
28.133749;100.000000;1.489725
28.127535;100.000000;1.496763
28.127535;100.000000;1.496763
28.127535;100.000000;1.496763
28.126017;100.000000;1.497750
28.172424;100.000000;1.486250
28.172424;100.000000;1.486250
28.172424;100.000000;1.486250
28.172424;100.000000;1.486250
28.160736;100.000000;1.491256
28.160736;100.000000;1.491256
28.160736;100.000000;1.491256
28.160736;100.000000;1.491900
28.151220;100.000000;1.498487
28.151220;100.000000;1.498487
28.149557;100.000000;1.499362
28.149557;100.000000;1.499362
28.190638;100.000000;1.485900
28.190638;100.000000;1.485900
28.190170;100.000000;1.486219
28.190170;100.000000;1.486219
28.178135;100.000000;1.492712
28.178135;100.000000;1.492712
28.176811;100.000000;1.493456
28.176811;100.000000;1.493456
28.165571;100.000000;1.500437
28.165571;100.000000;1.500437
28.164640;100.000000;1.500875
28.164640;100.000000;1.500875
28.186668;100.000000;1.483625
28.186668;100.000000;1.483625
28.184338;100.000000;1.484288
28.184338;100.000000;1.484288
28.159546;100.000000;1.493694
28.158926;100.000000;1.494012
28.158688;100.000000;1.494125
28.158688;100.000000;1.494125
28.140120;100.000000;1.500950
28.146013;100.000000;1.498619
28.146013;100.000000;1.498619
28.152975;100.000000;1.495981
28.155054;100.000000;1.488481
28.153570;100.000000;1.489031
28.153988;100.000000;1.489025
28.153988;100.000000;1.489025
28.132048;100.000000;1.498562
28.131311;100.000000;1.499006
28.131311;100.000000;1.499006
28.130074;100.000000;1.499544
28.161917;100.000000;1.481238
28.161917;100.000000;1.481238
28.161917;100.000000;1.481238
28.161917;100.000000;1.481238
28.137827;100.000000;1.490506
28.137117;100.000000;1.490937
28.137117;100.000000;1.490937
28.135153;100.000000;1.491600
28.117813;100.000000;1.500463
28.116571;100.000000;1.501019
28.116571;100.000000;1.501019
28.115948;100.000000;1.501462
28.153690;100.000000;1.480163
28.153448;100.000000;1.480487
28.153448;100.000000;1.480487
28.152393;100.000000;1.481031
28.144739;100.000000;1.487525
28.143946;100.000000;1.487962
28.143946;100.000000;1.487962
28.143772;100.000000;1.488287
28.135904;100.000000;1.495094
28.136431;100.000000;1.495300
28.136431;100.000000;1.495300
28.136431;100.000000;1.495300
28.139946;100.000000;1.498969
28.141628;100.000000;1.498969
28.141628;100.000000;1.498969
28.141628;100.000000;1.498969
28.155800;100.000000;1.492687
28.154284;100.000000;1.493244
28.154284;100.000000;1.493244
28.153393;100.000000;1.493688
28.131554;100.000000;1.502806
28.131554;100.000000;1.502619
28.131281;100.000000;1.502469
28.131281;100.000000;1.502469
28.164530;100.000000;1.484225
28.163597;100.000000;1.484225
28.163597;100.000000;1.484225
28.162418;100.000000;1.485212
28.153294;100.000000;1.491794
28.153540;100.000000;1.491994
28.153540;100.000000;1.491994
28.153540;100.000000;1.491994
28.144468;100.000000;1.499106
28.144468;100.000000;1.499106
28.144468;100.000000;1.499106
28.144150;100.000000;1.499750
28.182375;100.000000;1.486488
28.180664;100.000000;1.487044
28.179651;100.000000;1.487475
28.179651;100.000000;1.487475
28.155533;100.000000;1.496619
28.154703;100.000000;1.497050
28.153198;100.000000;1.497606
28.153198;100.000000;1.497606
28.181293;100.000000;1.488331
28.178612;100.000000;1.488569
28.178612;100.000000;1.488569
28.178612;100.000000;1.488569
28.153614;100.000000;1.498219
28.153614;100.000000;1.498219
28.152922;100.000000;1.498556
28.152922;100.000000;1.498556
28.178070;100.000000;1.484069
28.178070;100.000000;1.484069
28.178034;100.000000;1.482994
28.178034;100.000000;1.482994
28.165989;100.000000;1.488481
28.165989;100.000000;1.488481
28.165043;100.000000;1.488919
28.165043;100.000000;1.488919
28.155888;100.000000;1.495694
28.155888;100.000000;1.495694
28.154856;100.000000;1.496231
28.154856;100.000000;1.496231
28.166569;100.000000;1.496750
28.177340;100.000000;1.493775
28.186344;100.000000;1.491075
28.193239;100.000000;1.489069
28.183638;100.000000;1.490050
